origin_question,change_question,bert_match_question,bert_sore,mixnet_match_question,mixnet_sore,smallBert_match_question,smallBert_sore,wam_match_question,wam_sore
财务系统无立案信息,财政系统无立案信息,结案后支款,5.1000047,财务系统无新立案案件信息,0.33563644,财务系统无案件信息,0.023982389,财务系统无新立案案件信息,0.22050287
财务系统无立案信息,财政系统无立案信息,修改立案金额,5.736849,财务系统无案件信息,0.5678631,立案时，无法选择代字,0.028741084,修改立案卡信息,0.2948297
在财务系统匹配案款时找不到案件,在财务系统匹配案款时找不到刑事案件,在财务系统匹配案款时找不到案件,4.361167,在财务系统匹配案款时找不到案件,0.16583484,系统提示根据案号代码未查到案件下的被执行人信息,0.025926678,在财务系统匹配案款时找不到案件,0.1771535
在财务系统匹配案款时找不到案件,在财务系统匹配案款时找不到刑事案件,财务系统怎么匹配案款,6.3740473,财务管理系统中找不到匹配案款的案件,0.39690688,办案系统推送案款支付信息财务系统看不到,0.037656467,已匹配案款为执行系统到账登记没有,0.60073256
在财务系统匹配案款时找不到案件,在财务系统匹配案款时找不到刑事案件,财务系统无法变更承办人,6.8442497,匹配案款找不到案件,0.47271302,支付案款执行系统已审批完毕财务系统看不到,0.041142587,财务系统匹配案款，至今未推送到执行系统,0.61521226
财务系统无执行案件信息,财务系统无继续执行案件信息,财务系统不显示支款审批信息,3.0465362,财务系统无执行案件信息,0.19240057,财务系统无法获取案件信息,0.025966188,财务系统无案件信息,0.014666814
财务系统无执行案件信息,财务系统无继续执行案件信息,财务系统无法获取案件信息,3.239546,财务系统无案件信息,0.29781538,财务系统无立案信息,0.027987264,财务系统无承办人,0.14773656
财务系统无执行案件信息,财务系统无继续执行案件信息,财务系统中看不到案件信息,3.3018785,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.4145518,支付罚没收入选择什么方式,0.030518511,财务系统无案件,0.15217322
财务系统里没有案件,财务系统里面没有案件,财务系统里没有案件,0.7637199,财务系统里没有案件,0.017237343,财务系统里没有案件,0.033619136,财务系统里没有案件,0.35598737
财务系统里没有案件,财务系统里面没有案件,财务系统看不到案款,3.3510835,财务系统无案件,0.16991055,案款匹配后执行系统没信息,0.034176096,财务系统显示不出案件承办人,0.5933876
财务系统里没有案件,财务系统里面没有案件,财务系统显示不出案件承办人,5.1509933,财务无案件,0.23992895,系统推送执行系统到账登记记录重复,0.038011238,财务系统没有执行案件,0.6108025
案款系统没有案件信息,案款系统没有刑事案件信息,案款系统没有案件信息,0.6939743,案款系统没有案件信息,0.44560343,终本案件需要支付案款,0.018345032,案款系统没有案件信息,0.40330386
案款系统没有案件信息,案款系统没有刑事案件信息,案款认领功能找不到,1.9775387,在办案系统删案款支付信息后重填,0.61512005,执行系统网络查控无法核实当事人身份信息,0.021009995,案款信息推送办案办案系统,0.55147785
案款系统没有案件信息,案款系统没有刑事案件信息,找不到银行流水记录,2.5821064,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.68793243,案款走完程序还待办状态,0.022941444,办案系统推送案款支付信息财务系统看不到,0.7058257
执行系统有案件信息财务系统无案件信息不能进行案款匹配,执行系统有案件数据财务系统无案件信息不能进行案款匹配,执行系统有案件信息财务系统无案件信息不能进行案款匹配,2.306413,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.04962803,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.008598076,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.03403705
执行系统有案件信息财务系统无案件信息不能进行案款匹配,执行系统有案件数据财务系统无案件信息不能进行案款匹配,财务系统匹配后执行系统到账登记没有信息,9.275754,执行案件在财务系统获取不案件信息,0.26668423,收案状态，点击分期履行后，弹出的对话框不能进行填写,0.027265294,财务系统无执行系统推送的案款支付审批信息,0.33638072
执行系统有案件信息财务系统无案件信息不能进行案款匹配,执行系统有案件数据财务系统无案件信息不能进行案款匹配,财务系统如何取消匹配原案匹配,9.53852,财务系统无执行案件信息,0.29183087,系统提示根据案号代码未查到案件下的被执行人信息,0.028695952,财务系统无执行案件信息,0.35788688
财务系统无法获取案件谢谢,财务该系统无法获取案件谢谢,财务系统无法获取案件谢谢,0.8429615,财务系统无法获取案件谢谢,0.007717597,财务系统无法获取案件谢谢,0.024319833,财务系统无法获取案件谢谢,0.2331819
财务系统无法获取案件谢谢,财务该系统无法获取案件谢谢,无法找到申请人案款发放,2.962489,财务系统无法获取案件信息,0.16183645,案款发放一直显示待办财务系统未显示,0.03493203,财务系统无法获取案件信息,0.4824346
财务系统无法获取案件谢谢,财务该系统无法获取案件谢谢,实体化系统能用吗？,3.0632825,执行案件在财务系统获取不案件信息,0.2817716,案款发放一直显示待办财务系统未显示,0.03493203,财务系统里没有案件,0.5164821
财务系统看不到案款,财务该系统看不到案款,执行系统怎么匹配案款,7.4703803,财务系统看不到案款,0.016752439,财务系统中看不到案件信息,0.016524887,财务系统看不到案款,0.2885637
财务系统看不到案款,财务该系统看不到案款,执行系统到账登记无数据,7.620782,财务系统看不到案款审批,0.31563136,财务系统看不到审批信息,0.021358093,财务系统看不到案款审批,0.4104686
财务系统看不到案款,财务该系统看不到案款,怎么取消匹配案款,7.9195,已支付案款信息财务系统找不到原因,0.4024938,组织代码一致但验证不通过,0.02526412,财务系统里没有案件,0.5662476
财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不完全一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,7.5059395,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.09044681,执行完毕案件是否需齐备“四查”（即银行、房地、股权、车辆）资料入卷,0.043727484,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.10975096
财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不完全一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,7.5059395,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.09044681,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.043969274,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.10975096
财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不完全一致,财务系统看不见附件，执行系统不能向财务系统推送附件,15.013684,财务系统显示不出案件承办人,0.22971238,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.043969274,财务系统案款审批时不显示执行费、诉讼费,0.40853944
分配虚拟账号失败,分配虚拟世界账号失败,终本案件人民银行查询不通过,3.2644331,分配虚拟账号失败,0.19518335,归档时提示：提交归档失败，请检查配置,0.016365737,分配虚拟账号失败,0.28076142
分配虚拟账号失败,分配虚拟世界账号失败,分配虚拟账号失败,3.66805,无法分配虚拟账号,0.34837934,总对总划拨无法进入虚拟账号,0.016853714,无法分配虚拟账号,0.3506505
分配虚拟账号失败,分配虚拟世界账号失败,执行系统不能支付确认结案,3.7152257,虚拟账号生成失败,0.4495693,冻结反馈“日期有误”,0.02222548,现在案款怎么不能分配,0.44128755
没有生成虚拟账号,没有生成虚拟帐号,没有生成虚拟账号,0.31915805,没有生成虚拟账号,0.016440114,没有生成虚拟账号,0.012881829,没有生成虚拟账号,0.038549036
没有生成虚拟账号,没有生成虚拟帐号,财务系统未生成虚拟账号,5.8282638,请问虚拟账号未生成怎么办,0.15118504,执行系统中，看不见支付附件,0.029258445,请问虚拟账号未生成怎么办,0.22872722
没有生成虚拟账号,没有生成虚拟帐号,到账登记未推送,8.738279,执行系统没有生成虚拟账号,0.23484416,财务系统显示不出案件承办人,0.043399025,财务系统未生成虚拟账号,0.4436595
请问虚拟账号未生成怎么办,请问虚拟账号未分解怎么办,无法分配虚拟账号,6.377395,无法分配虚拟账号,0.530453,请问虚拟账号未生成怎么办,0.030628022,请问虚拟账号未生成怎么办,0.48374343
请问虚拟账号未生成怎么办,请问虚拟账号未分解怎么办,过程卷老是出现多余文书,7.362693,请问虚拟账号未生成怎么办,0.548897,一笔案款如何分割匹配到多个案件中,0.039494526,没有生成虚拟账号,0.7253836
请问虚拟账号未生成怎么办,请问虚拟账号未分解怎么办,系统虚拟账号不一致,7.409207,分配虚拟账号失败,0.6011038,立案时无法生成虚拟账号怎么办,0.050948944,财务系统未生成虚拟账号,0.80591273
无法分配虚拟账号,无法重新分配虚拟账号,无法分配虚拟账号,2.0344672,无法分配虚拟账号,0.25792664,无法分配虚拟账号,0.0360731,新立案件无法生成虚拟账号怎么办,0.52310884
无法分配虚拟账号,无法重新分配虚拟账号,重复到账登记,4.326188,分配虚拟账号失败,0.36306813,恢复执行案件重复终本，影响考核指标,0.036885045,虚拟账号生成失败,0.5468822
无法分配虚拟账号,无法重新分配虚拟账号,无法转影像卷宗,4.478287,一案一账户虚拟账户匹配失败,0.6315577,恢复执行立案金额影响执行到位率。,0.06264624,费款虚拟账号接口访问失败,0.55516297
立案时无法生成虚拟账号怎么办,立案时无法生成虚拟帐号怎么办,立案时无法生成虚拟账号怎么办,2.7320685,立案时无法生成虚拟账号怎么办,0.007668905,立案时无法生成虚拟账号怎么办,0.007347175,立案时无法生成虚拟账号怎么办,0.0027442388
立案时无法生成虚拟账号怎么办,立案时无法生成虚拟帐号怎么办,诉讼费退费的依据和操作方式,51.50429,新立案件无法生成虚拟账号怎么办,0.16918012,一笔案款如何分割匹配到多个案件中,0.06896985,立案时，无法选择代字,0.2166888
立案时无法生成虚拟账号怎么办,立案时无法生成虚拟帐号怎么办,案款发放时领款人填写错误无法更改怎么办,52.849636,执行系统无法生成虚拟账号,0.33147573,如何对财产担保人进行查控？,0.074129395,执行立案时确认申请执行人收款账户信息,0.26886907
新立案件无法生成虚拟账号怎么办,新立刑事案件无法生成虚拟账号怎么办,申请发放案款时提示乱码错误,8.046803,新立案件无法生成虚拟账号怎么办,0.17656125,事项委托结束后，补充的回执材料无法自动回到案件里,0.043202758,新立案件无法生成虚拟账号怎么办,0.29130936
新立案件无法生成虚拟账号怎么办,新立刑事案件无法生成虚拟账号怎么办,首执案件案款未全部发放剩余部分要发放应该如何处理,8.43445,立案时无法生成虚拟账号怎么办,0.2550864,只限制高消费能否终本结案,0.050214335,虚拟账号生成失败,0.6678432
新立案件无法生成虚拟账号怎么办,新立刑事案件无法生成虚拟账号怎么办,如何避免案款数据同步失败,8.588907,执行系统无法生成虚拟账号,0.36766952,执行费显示待办，无法执行结案,0.052166667,立案时无法生成虚拟账号怎么办,0.68356293
执行系统中在哪里查看虚拟账号,执行系统中在哪里查看虚拟世界账号,查控系统公告在哪里点开,6.216077,执行系统中在哪里查看虚拟账号,0.1479422,请问执恢案件财务系统已转换数据但执行系统没有记录怎么回事,0.025151214,执行系统中在哪里查看虚拟账号,0.22680102
执行系统中在哪里查看虚拟账号,执行系统中在哪里查看虚拟世界账号,查控系统什么事实能用,6.2994084,执行系统中怎么查看虚拟账号,0.1552096,结案前操作屏蔽流程系统显示已屏蔽,0.05739003,执行系统中怎么查看虚拟账号,0.23085862
执行系统中在哪里查看虚拟账号,执行系统中在哪里查看虚拟世界账号,执行系统到账登记无数据,6.5338883,执行系统中执行通知书虚拟账号乱码,0.6076662,执行系统怎么查看流程审批完成没有,0.060560614,如何修改系统中执行标额,0.2594335
执行系统无法生成虚拟账号,执行系统无法生成虚拟世界账号,过程卷老是出现多余文书,6.5094557,执行系统无法生成虚拟账号,0.14933778,执行系统中，看不见支付附件,0.0107220225,执行系统无法生成虚拟账号,0.38813815
执行系统无法生成虚拟账号,执行系统无法生成虚拟世界账号,执行系统无法生成虚拟账号,7.2065578,执行系统没有生成虚拟账号,0.256709,财务系统承办人信息与执行系统不一致,0.026438482,财务系统有案件信息执行系统无法生成账号,0.4029585
执行系统无法生成虚拟账号,执行系统无法生成虚拟世界账号,财务系统无流水,7.8626385,系统生成执行通知书未生成虚拟账号,0.44222102,财务系统显示不出案件承办人,0.028592162,财务已支付，执行系统无法流转,0.51806015
执行系统到账登记怎么操作,继续执行系统到账登记怎么操作,执行系统到账登记怎么操作,2.8804753,执行系统到账登记怎么操作,0.23549141,文书模板怎么设定,0.050308097,执行系统到账登记怎么操作,0.37369978
执行系统到账登记怎么操作,继续执行系统到账登记怎么操作,已支付案款信息财务系统找不到原因,3.3491242,执行系统到账登记无数据,0.5104515,如何调整财务审批顺序,0.06808355,执行系统重复到账登记,0.741565
执行系统到账登记怎么操作,继续执行系统到账登记怎么操作,终本案件发现有钱，怎么扣划,3.4974983,执行系统到账登记无数据怎么处理,0.5240731,怎样分配案款1,0.07092619,执行系统到账登记重复,0.741565
哪里进行银行流水匹配审核,哪里进行银行流水匹配审查,哪里进行银行流水匹配审核,0.48024663,哪里进行银行流水匹配审核,0.15324028,房产进行询价评估时的信息录入问题,0.02399114,哪里进行银行流水匹配审核,0.45597795
哪里进行银行流水匹配审核,哪里进行银行流水匹配审查,现金履行支付信息怎么操作,5.047984,案款银行流水匹配找不到案件信息,0.418369,直接裁定执行财产人，授权收执行主体中不显示功能,0.035623807,案款银行流水匹配无法找到已缴款项,0.59919286
哪里进行银行流水匹配审核,哪里进行银行流水匹配审查,到账登记无数据,5.2935877,流水匹配审核,0.45270452,财付通扣划提示“收款账户未在提交财付通的列表内,0.04618637,案款银行流水匹配找不到案件信息,0.67071575
执行系统怎么匹配案款,继续执行系统怎么匹配案款,执行系统怎么匹配案款,4.06274,执行系统怎么匹配案款,0.1979525,执行系统怎么匹配案款,0.019378107,财务系统怎么匹配案款,0.15443324
执行系统怎么匹配案款,继续执行系统怎么匹配案款,扣划到总账户案款怎么匹配,5.5197315,案款匹配后执行系统没信息,0.40345344,财务系统怎么匹配案款,0.027887087,执行系统怎么匹配案款,0.31396785
执行系统怎么匹配案款,继续执行系统怎么匹配案款,恢复案件如何关联首次执行案件,6.1107826,财务系统怎么匹配案款,0.46949714,已分割案款怎样再次匹配,0.028149731,财务系统如何取消匹配原案匹配,0.4240545
匹配案款怎么操作,给定案款怎么操作,匹配案款怎么操作,2.5379586,支付给案外人案款如何操作,0.9201155,现金履行支付信息怎么操作,0.06478789,怎么给查控系统授权,0.5823861
匹配案款怎么操作,给定案款怎么操作,现金履行支付信息怎么操作,3.9917564,案款发放怎么操作,0.92519563,执行费支付怎么操作,0.06871121,支付给案外人案款如何操作,0.8037616
匹配案款怎么操作,给定案款怎么操作,案款转换数据怎么消除,4.18933,案款支付流程,0.94288266,罚金案款发放怎么操作,0.10176213,给案外人支款,0.8493244
财务匹配,财务给定,财务无案件,7.594334,新版财务系统如何操作,0.6060826,二次分案,0.03499585,删除执行案件。,0.86676633
财务匹配,财务给定,扣划到总账户案款怎么匹配,8.190615,财务系统怎么确认支付案款,0.6860379,村委会终本,0.067876406,行为执行结案方式。,0.89741623
财务匹配,财务给定,财务系统无案件,8.8593445,财务系统授权,0.7387865,罚金转款,0.07145111,执行复议案件办理期限;执行监督案件办理期限,0.928255
案款匹配,案款给定,转换数据后案款到不执行案件,3.9585645,原案财务系统剩余案款如何支付,0.73508096,案款补录,0.013648761,执行费未支不成功，无法结案,0.85554254
案款匹配,案款给定,案款转换数据怎么消除,4.084762,怎样分配案款1,0.7756209,冻结操作,0.02184408,案款填错,0.86334354
案款匹配,案款给定,结案后修改失信,4.1056223,扣划到总账户案款怎么匹配,0.7778855,列入失信,0.0284648,案款分割,0.8643547
执恢案件支付案款怎么匹配,执恢案件缴纳案款怎么匹配,执恢案件否必须缴纳执行费,3.1441278,执恢案件支付案款怎么匹配,0.14086935,执恢案件支付案款怎么匹配,0.014678668,执恢案件支付案款怎么匹配,0.11910627
执恢案件支付案款怎么匹配,执恢案件缴纳案款怎么匹配,案款支付如何设置本院账户信息,3.38967,案款发放恢复案件怎么和首次执行匹配,0.40579417,领取案款案件怎么终本,0.029265476,匹配案款找不到案件,0.15784068
执恢案件支付案款怎么匹配,执恢案件缴纳案款怎么匹配,执恢案件支付案款怎么匹配,3.4222872,案款匹配,0.44447094,绑定关联案件,0.033536598,匹配案款怎么操作,0.20457265
案款已匹配数据已转换提交审核时候被提示不明案款进行提交,案款已匹配数据已转换提交审核时候被提示不明案款展开提交,案款已匹配数据已转换提交审核时候被提示不明案款进行提交,2.6874485,案款已匹配数据已转换提交审核时候被提示不明案款进行提交,0.041129354,案款已匹配数据已转换提交审核时候被提示不明案款进行提交,0.024838697,案款已匹配数据已转换提交审核时候被提示不明案款进行提交,0.15159638
案款已匹配数据已转换提交审核时候被提示不明案款进行提交,案款已匹配数据已转换提交审核时候被提示不明案款展开提交,不明案款匹配后，提示需要提交审核,13.687945,不明案款匹配后，提示需要提交审核,0.270099,历史案件信息填写后无法保存，显示该案件已经存在,0.039499246,银行流水匹配错误，但是数据已转换,0.64768434
案款已匹配数据已转换提交审核时候被提示不明案款进行提交,案款已匹配数据已转换提交审核时候被提示不明案款展开提交,提交网拍时，提示xxx财产执行主体与案件执行主体不同,14.609176,不明案款匹配后怎么提交审核,0.3281207,在新版财务系统中，财务系统  部分 功能模块不见了？,0.044714488,已转换数据的案款如何取消转换重新匹配？,0.7192287
案款匹配财务应怎样操作,案款匹配财务应怎样操作者,案款匹配财务应怎样操作,1.2424324,案款匹配财务应怎样操作,0.09267952,案款分配按钮在哪里,0.044786867,案款匹配财务应怎样操作,0.1252545
案款匹配财务应怎样操作,案款匹配财务应怎样操作者,案款匹配财务应怎样操作,1.2424324,案款匹配财务应怎样操作,0.09267952,财产登记在哪里做,0.04535955,案款匹配财务应怎样操作,0.1252545
案款匹配财务应怎样操作,案款匹配财务应怎样操作者,执恢案件支付案款怎么匹配,4.02854,财务系统怎么匹配案款,0.28384268,恢复案件终本,0.047491044,财务管理系统中找不到匹配案款的案件,0.46947318
流水匹配审核,山涧匹配审核,不明案款审批,3.3246696,不明案款匹配后怎么提交审核,0.6305573,流水匹配审核,0.03757868,流水匹配审核,0.32893696
流水匹配审核,山涧匹配审核,案款延期发放审批,3.8358378,流水匹配审核,0.6475438,案件延期,0.04530269,不明案款匹配后怎么提交审核,0.5770014
流水匹配审核,山涧匹配审核,历史案款发放,3.8721414,不明案款匹配后，提示需要提交审核,0.7518117,案款匹配,0.045647677,哪里进行银行流水匹配审核,0.64340806
扣划到总账户案款怎么匹配,扣划到总账户案款怎么给定,扣划到总账户案款怎么匹配,6.178086,扣划到总账户案款怎么匹配,0.29023126,验证执行主体提示失败,0.030620547,当事人已将案款转账到法院账户，但财务系统中无相关案款信息,0.64489925
扣划到总账户案款怎么匹配,扣划到总账户案款怎么给定,怎么从财务系统退回已经审核完成的案款发放信息？,6.7698584,逐月扣划案款,0.48840258,执行账号被禁用怎么办,0.035935953,总对总查控节点点击流转时，提示查控申请信息未同步到执行系统，不能流转,0.6966748
扣划到总账户案款怎么匹配,扣划到总账户案款怎么给定,恢复执行案件能不能部分恢复，执行完毕结案,7.096041,每月都要进行扣划案款，发放案款，是否每月都要立一个执恢案件？,0.5502784,需要单次解禁怎么办,0.03688265,批量总对总怎么提起,0.71193373
怎么分割案款给多个案件,怎么拆分案款给多个案件,怎么分割案款给多个案件,2.623205,怎么分割案款给多个案件,0.2314052,暂停案件扣除审限后不能结案,0.040112853,怎么分割案款给多个案件,0.5511903
怎么分割案款给多个案件,怎么拆分案款给多个案件,恢复执行案件如何关联首次执行案件发放案款,5.8148456,案款拆分,0.3601504,案件已结案款未支付,0.04034273,多个被执行人，部分履行了，怎么结案,0.84736764
怎么分割案款给多个案件,怎么拆分案款给多个案件,怎么进行二次分案,5.8725457,一笔案款分配到多个案件中,0.36146304,长期履行不下终结裁定吗,0.04324735,财务系统怎么将一笔钱分割多个案件,0.86586475
案款分配怎么处理,案款重新分配怎么处理,案款分配怎么处理,2.056825,案款分配怎么处理,0.4537782,审判类案件案款支付流程,0.04837002,法银,0.49466458
案款分配怎么处理,案款重新分配怎么处理,怎么进行案款分配,2.1121178,分案错误，需要重新分配承办人,0.51171243,支付执行费，选择什么支付方式,0.049073365,案款提存,0.5296329
案款分配怎么处理,案款重新分配怎么处理,案款提存,2.18861,案款分配,0.54246694,人民银行选择注册地,0.059668485,案款提存,0.5296329
