origin_question,change_question,bert_match_question,bert_sore,bert_value,mixnet_match_question,mixnet_sore,mixnet_value,smallBert_match_question,smallBert_sore,small_Bertvalue,wam_match_question,wam_sore,wam_value
财务系统无法获取案件信息,财务系统无法获取刑事案件信息,无法提交询价评估,2.3884768,0,财务系统无法获取案件谢谢,0.46123168,1,房产进行询价评估时的信息录入问题,0.033135675,0,财务系统无法获取案件谢谢,0.58017194,1
执行案件未推送到财务系统怎么处理,执行案件并未推送到财务系统怎么处理,执行案件未推送到财务系统怎么处理,1.5496892,1,执行案件未推送到财务系统怎么处理,0.036174554,1,执行案件未推送到财务系统怎么处理,0.020100575,1,执行案件未推送到财务系统怎么处理,0.19762129,1
执行案件未推送到财务系统怎么处理,执行案件并未推送到财务系统怎么处理,执行系统到账登记无数据,6.307015,0,案款发放执行系统未推送财务系统,0.22807698,0,财务系统怎么将一笔钱分割多个案件,0.041958813,0,执行系统案款支付没有推送到财务系统怎么办,0.2749501,0
执行案件未推送到财务系统怎么处理,执行案件并未推送到财务系统怎么处理,办案系统推送案款支付信息财务系统看不到,6.502922,0,财务系统案款已确认但执行系统没有推送出来信息怎么办,0.29185435,0,执行费显示待办，无法执行结案,0.05306552,0,执行系统案款支付没有推送到财务系统,0.3183652,0
财务系统无案件信息,财务系统无刑事案件信息,财务系统无执行案件信息,3.2396016,1,财务系统无案件信息,0.3447297,1,财务系统谁有案款分配权,0.023313744,0,财务系统无案件信息,0.20224696,1
财务系统无案件信息,财务系统无刑事案件信息,财务系统无案件信息,3.4432669,1,财务系统无案件,0.49690273,1,执保划拨提示查无数据,0.028399086,0,财务系统无承办人,0.26451436,0
财务系统无案件信息,财务系统无刑事案件信息,财务系统里没有案件,3.9414403,1,财务系统无执行案件信息,0.5153602,1,恢复案件可否立即终本,0.032379083,0,财务系统无案件,0.3182325,1
财务系统无案件,财政系统无案件,财务系统无案件,2.5025249,1,财务系统无案件,0.3076545,1,财务系统无案件信息,0.02271582,1,财务系统无案件,0.19743459,1
财务系统无案件,财政系统无案件,财务系统无审批流程,4.4067054,0,财务系统无案件信息,0.4235336,1,财务系统无案件,0.025165565,1,财务系统无流水,0.21453103,0
财务系统无案件,财政系统无案件,提示未做总对总查控,4.4137073,0,财务系统里没有案件,0.43292063,1,财务系统怎么授权审批人,0.02660195,0,财务系统无承办人,0.23517773,0
财务看不到信息,财政看不到信息,支付宝不能划扣,2.8782284,0,财务看不到信息,0.26060322,1,财务看不到信息,0.014455563,1,财务看不到信息,0.5984956,1
财务看不到信息,财政看不到信息,无法核查当事人身份信息,3.0150769,0,财务系统看不到审批信息,0.49144518,0,查控系统进不去,0.06531908,0,已收到案款信息功能找不到,0.8905928,0
财务看不到信息,财政看不到信息,到账登记未显示金额,3.0540023,0,财务没有审批信息,0.6875921,0,到账登记无信息,0.06710818,0,案款发放上交财政怎么处理,0.90234053,0
财务系统无新立案案件信息,财务该系统无新立案案件信息,财务系统无执行案件信息,3.3569205,1,财务系统无新立案案件信息,0.006510272,1,只限制高消费能否终本结案,0.017804269,0,财务系统无新立案案件信息,0.02856282,1
财务系统无新立案案件信息,财务该系统无新立案案件信息,财务系统无新立案案件信息,3.7013,1,财务系统无立案信息,0.18555528,1,罚金案子在支付案款通知书上打出来显示收取执行费,0.019181581,0,财务系统无立案信息,0.18554883,1
财务系统无新立案案件信息,财务该系统无新立案案件信息,财务系统无案件信息,3.8836176,1,财务系统无案件信息,0.43890962,1,案件进行划拨后解冻提示金额不符,0.02036622,0,立案个体户信息怎么验证,0.18630008,0
案款未推送到财务系统,案款未启动时到财务系统,清除案款数据,4.206098,0,执行系统案款支付未推送到财务系统,0.43964186,1,罚金刑案件否需要终本约谈,0.020049663,0,案款未推送到财务系统,0.30456108,1
案款未推送到财务系统,案款未启动时到财务系统,在办案系统删案款支付信息后重填,4.5905576,0,案款未推送到财务系统,0.4549111,1,房产进行询价评估时的信息录入问题,0.025964545,0,案款未推送到财务系统,0.30456108,1
案款未推送到财务系统,案款未启动时到财务系统,财务系统诉讼费采用调账支付怎么确认支付,4.619339,0,案款未推送到财务系统,0.4549111,1,收案登记时案件类型不出现,0.03144397,0,案款发放申请未推送到财务系统,0.41078818,1
案款银行流水匹配找不到案件信息,案款银行流水匹配去找不到案件信息,案款认领功能找不到,3.2546484,0,案款银行流水匹配找不到案件信息,0.006875506,1,案款银行流水匹配找不到案件信息,0.01971538,1,案款银行流水匹配找不到案件信息,0.119633354,1
案款银行流水匹配找不到案件信息,案款银行流水匹配去找不到案件信息,案款拆分,3.2725224,0,无银行流水案款怎么匹配,0.24452657,0,案款未发放完余款发放提示余额不足,0.044537276,0,哪里进行银行流水匹配审核,0.55640066,0
案款银行流水匹配找不到案件信息,案款银行流水匹配去找不到案件信息,案款系统没有案件信息,3.3323834,1,案款银行流水匹配无法找到已缴款项,0.2494526,0,案款未发放完余款发放提示余额不足,0.044537276,0,案款银行流水匹配无法找到已缴款项,0.6013513,0
执行案件在财务系统获取不案件信息,执行案件在财务该系统获取不案件信息,执行案件在财务系统获取不案件信息,0.8915387,1,执行案件在财务系统获取不案件信息,0.003974847,1,罚金案子在支付案款通知书上打出来显示收取执行费,0.018837838,0,执行案件在财务系统获取不案件信息,0.13530192,1
执行案件在财务系统获取不案件信息,执行案件在财务该系统获取不案件信息,恢复案件发放首执案件案款,4.6671286,0,财务系统无法获取案件信息,0.1795413,1,执行系统提起案款发放财务系统看不到案款支付,0.022822341,0,如何在财务系统修改承办人信息,0.5113639,0
执行案件在财务系统获取不案件信息,执行案件在财务该系统获取不案件信息,财务系统无案件信息,4.711638,1,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.2055916,1,列入失信时提示承办人标识不一致,0.023495184,0,财务系统承办人信息与执行系统不一致,0.5781018,0
财务系统无立案信息,财政系统无立案信息,财务系统无立案信息,1.4513406,1,财务系统无立案信息,0.17716168,1,财务系统无立案信息,0.023286045,1,财务系统无立案信息,0.04910724,1
财务系统无立案信息,财政系统无立案信息,结案后支款,5.1000047,0,财务系统无新立案案件信息,0.33563644,1,财务系统无案件信息,0.023982389,1,财务系统无新立案案件信息,0.22050287,1
财务系统无立案信息,财政系统无立案信息,修改立案金额,5.736849,0,财务系统无案件信息,0.5678631,1,立案时，无法选择代字,0.028741084,0,修改立案卡信息,0.2948297,0
在财务系统匹配案款时找不到案件,在财务系统匹配案款时找不到刑事案件,在财务系统匹配案款时找不到案件,4.361167,1,在财务系统匹配案款时找不到案件,0.16583484,1,系统提示根据案号代码未查到案件下的被执行人信息,0.025926678,0,在财务系统匹配案款时找不到案件,0.1771535,1
在财务系统匹配案款时找不到案件,在财务系统匹配案款时找不到刑事案件,财务系统怎么匹配案款,6.3740473,0,财务管理系统中找不到匹配案款的案件,0.39690688,1,办案系统推送案款支付信息财务系统看不到,0.037656467,0,已匹配案款为执行系统到账登记没有,0.60073256,0
在财务系统匹配案款时找不到案件,在财务系统匹配案款时找不到刑事案件,财务系统无法变更承办人,6.8442497,0,匹配案款找不到案件,0.47271302,1,支付案款执行系统已审批完毕财务系统看不到,0.041142587,0,财务系统匹配案款，至今未推送到执行系统,0.61521226,0
财务系统无执行案件信息,财务系统无继续执行案件信息,财务系统不显示支款审批信息,3.0465362,0,财务系统无执行案件信息,0.19240057,1,财务系统无法获取案件信息,0.025966188,1,财务系统无案件信息,0.014666814,1
财务系统无执行案件信息,财务系统无继续执行案件信息,财务系统无法获取案件信息,3.239546,1,财务系统无案件信息,0.29781538,1,财务系统无立案信息,0.027987264,1,财务系统无承办人,0.14773656,0
财务系统无执行案件信息,财务系统无继续执行案件信息,财务系统中看不到案件信息,3.3018785,1,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.4145518,1,支付罚没收入选择什么方式,0.030518511,0,财务系统无案件,0.15217322,1
财务系统里没有案件,财务系统里面没有案件,财务系统里没有案件,0.7637199,1,财务系统里没有案件,0.017237343,1,财务系统里没有案件,0.033619136,1,财务系统里没有案件,0.35598737,1
财务系统里没有案件,财务系统里面没有案件,财务系统看不到案款,3.3510835,1,财务系统无案件,0.16991055,1,案款匹配后执行系统没信息,0.034176096,0,财务系统显示不出案件承办人,0.5933876,0
财务系统里没有案件,财务系统里面没有案件,财务系统显示不出案件承办人,5.1509933,0,财务无案件,0.23992895,1,系统推送执行系统到账登记记录重复,0.038011238,0,财务系统没有执行案件,0.6108025,0
案款系统没有案件信息,案款系统没有刑事案件信息,案款系统没有案件信息,0.6939743,1,案款系统没有案件信息,0.44560343,1,终本案件需要支付案款,0.018345032,0,案款系统没有案件信息,0.40330386,1
案款系统没有案件信息,案款系统没有刑事案件信息,案款认领功能找不到,1.9775387,0,在办案系统删案款支付信息后重填,0.61512005,0,执行系统网络查控无法核实当事人身份信息,0.021009995,0,案款信息推送办案办案系统,0.55147785,0
案款系统没有案件信息,案款系统没有刑事案件信息,找不到银行流水记录,2.5821064,0,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.68793243,1,案款走完程序还待办状态,0.022941444,0,办案系统推送案款支付信息财务系统看不到,0.7058257,0
执行系统有案件信息财务系统无案件信息不能进行案款匹配,执行系统有案件数据财务系统无案件信息不能进行案款匹配,执行系统有案件信息财务系统无案件信息不能进行案款匹配,2.306413,1,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.04962803,1,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.008598076,1,执行系统有案件信息财务系统无案件信息不能进行案款匹配,0.03403705,1
执行系统有案件信息财务系统无案件信息不能进行案款匹配,执行系统有案件数据财务系统无案件信息不能进行案款匹配,财务系统匹配后执行系统到账登记没有信息,9.275754,0,执行案件在财务系统获取不案件信息,0.26668423,1,收案状态，点击分期履行后，弹出的对话框不能进行填写,0.027265294,0,财务系统无执行系统推送的案款支付审批信息,0.33638072,0
执行系统有案件信息财务系统无案件信息不能进行案款匹配,执行系统有案件数据财务系统无案件信息不能进行案款匹配,财务系统如何取消匹配原案匹配,9.53852,0,财务系统无执行案件信息,0.29183087,1,系统提示根据案号代码未查到案件下的被执行人信息,0.028695952,0,财务系统无执行案件信息,0.35788688,1
财务系统无法获取案件谢谢,财务该系统无法获取案件谢谢,财务系统无法获取案件谢谢,0.8429615,1,财务系统无法获取案件谢谢,0.007717597,1,财务系统无法获取案件谢谢,0.024319833,1,财务系统无法获取案件谢谢,0.2331819,1
财务系统无法获取案件谢谢,财务该系统无法获取案件谢谢,无法找到申请人案款发放,2.962489,0,财务系统无法获取案件信息,0.16183645,1,案款发放一直显示待办财务系统未显示,0.03493203,0,财务系统无法获取案件信息,0.4824346,1
财务系统无法获取案件谢谢,财务该系统无法获取案件谢谢,实体化系统能用吗？,3.0632825,0,执行案件在财务系统获取不案件信息,0.2817716,1,案款发放一直显示待办财务系统未显示,0.03493203,0,财务系统里没有案件,0.5164821,1
财务系统看不到案款,财务该系统看不到案款,执行系统怎么匹配案款,7.4703803,0,财务系统看不到案款,0.016752439,1,财务系统中看不到案件信息,0.016524887,1,财务系统看不到案款,0.2885637,1
财务系统看不到案款,财务该系统看不到案款,执行系统到账登记无数据,7.620782,0,财务系统看不到案款审批,0.31563136,0,财务系统看不到审批信息,0.021358093,0,财务系统看不到案款审批,0.4104686,0
财务系统看不到案款,财务该系统看不到案款,怎么取消匹配案款,7.9195,0,已支付案款信息财务系统找不到原因,0.4024938,0,组织代码一致但验证不通过,0.02526412,0,财务系统里没有案件,0.5662476,1
财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不完全一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,7.5059395,1,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.09044681,1,执行完毕案件是否需齐备“四查”（即银行、房地、股权、车辆）资料入卷,0.043727484,0,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.10975096,1
财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不完全一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,7.5059395,1,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.09044681,1,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.043969274,1,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.10975096,1
财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,财务系统显示不出案件承办人，或者承办人信息与执行系统不完全一致,财务系统看不见附件，执行系统不能向财务系统推送附件,15.013684,0,财务系统显示不出案件承办人,0.22971238,0,财务系统显示不出案件承办人，或者承办人信息与执行系统不一致,0.043969274,1,财务系统案款审批时不显示执行费、诉讼费,0.40853944,0
分配虚拟账号失败,分配虚拟世界账号失败,终本案件人民银行查询不通过,3.2644331,0,分配虚拟账号失败,0.19518335,1,归档时提示：提交归档失败，请检查配置,0.016365737,0,分配虚拟账号失败,0.28076142,1
分配虚拟账号失败,分配虚拟世界账号失败,分配虚拟账号失败,3.66805,1,无法分配虚拟账号,0.34837934,1,总对总划拨无法进入虚拟账号,0.016853714,0,无法分配虚拟账号,0.3506505,1
分配虚拟账号失败,分配虚拟世界账号失败,执行系统不能支付确认结案,3.7152257,0,虚拟账号生成失败,0.4495693,0,冻结反馈“日期有误”,0.02222548,0,现在案款怎么不能分配,0.44128755,0
没有生成虚拟账号,没有生成虚拟帐号,没有生成虚拟账号,0.31915805,1,没有生成虚拟账号,0.016440114,1,没有生成虚拟账号,0.012881829,1,没有生成虚拟账号,0.038549036,1
没有生成虚拟账号,没有生成虚拟帐号,财务系统未生成虚拟账号,5.8282638,0,请问虚拟账号未生成怎么办,0.15118504,1,执行系统中，看不见支付附件,0.029258445,0,请问虚拟账号未生成怎么办,0.22872722,1
没有生成虚拟账号,没有生成虚拟帐号,到账登记未推送,8.738279,0,执行系统没有生成虚拟账号,0.23484416,1,财务系统显示不出案件承办人,0.043399025,0,财务系统未生成虚拟账号,0.4436595,0
请问虚拟账号未生成怎么办,请问虚拟账号未分解怎么办,无法分配虚拟账号,6.377395,1,无法分配虚拟账号,0.530453,1,请问虚拟账号未生成怎么办,0.030628022,1,请问虚拟账号未生成怎么办,0.48374343,1
请问虚拟账号未生成怎么办,请问虚拟账号未分解怎么办,过程卷老是出现多余文书,7.362693,0,请问虚拟账号未生成怎么办,0.548897,1,一笔案款如何分割匹配到多个案件中,0.039494526,0,没有生成虚拟账号,0.7253836,1
请问虚拟账号未生成怎么办,请问虚拟账号未分解怎么办,系统虚拟账号不一致,7.409207,0,分配虚拟账号失败,0.6011038,1,立案时无法生成虚拟账号怎么办,0.050948944,1,财务系统未生成虚拟账号,0.80591273,0
无法分配虚拟账号,无法重新分配虚拟账号,无法分配虚拟账号,2.0344672,1,无法分配虚拟账号,0.25792664,1,无法分配虚拟账号,0.0360731,1,新立案件无法生成虚拟账号怎么办,0.52310884,1
无法分配虚拟账号,无法重新分配虚拟账号,重复到账登记,4.326188,0,分配虚拟账号失败,0.36306813,1,恢复执行案件重复终本，影响考核指标,0.036885045,0,虚拟账号生成失败,0.5468822,0
无法分配虚拟账号,无法重新分配虚拟账号,无法转影像卷宗,4.478287,0,一案一账户虚拟账户匹配失败,0.6315577,0,恢复执行立案金额影响执行到位率。,0.06264624,0,费款虚拟账号接口访问失败,0.55516297,0
立案时无法生成虚拟账号怎么办,立案时无法生成虚拟帐号怎么办,立案时无法生成虚拟账号怎么办,2.7320685,1,立案时无法生成虚拟账号怎么办,0.007668905,1,立案时无法生成虚拟账号怎么办,0.007347175,1,立案时无法生成虚拟账号怎么办,0.002744239,1
立案时无法生成虚拟账号怎么办,立案时无法生成虚拟帐号怎么办,诉讼费退费的依据和操作方式,51.50429,0,新立案件无法生成虚拟账号怎么办,0.16918012,1,一笔案款如何分割匹配到多个案件中,0.06896985,0,立案时，无法选择代字,0.2166888,0
立案时无法生成虚拟账号怎么办,立案时无法生成虚拟帐号怎么办,案款发放时领款人填写错误无法更改怎么办,52.849636,0,执行系统无法生成虚拟账号,0.33147573,0,如何对财产担保人进行查控？,0.074129395,0,执行立案时确认申请执行人收款账户信息,0.26886907,0
新立案件无法生成虚拟账号怎么办,新立刑事案件无法生成虚拟账号怎么办,申请发放案款时提示乱码错误,8.046803,0,新立案件无法生成虚拟账号怎么办,0.17656125,1,事项委托结束后，补充的回执材料无法自动回到案件里,0.043202758,0,新立案件无法生成虚拟账号怎么办,0.29130936,1
新立案件无法生成虚拟账号怎么办,新立刑事案件无法生成虚拟账号怎么办,首执案件案款未全部发放剩余部分要发放应该如何处理,8.43445,0,立案时无法生成虚拟账号怎么办,0.2550864,1,只限制高消费能否终本结案,0.050214335,0,虚拟账号生成失败,0.6678432,0
新立案件无法生成虚拟账号怎么办,新立刑事案件无法生成虚拟账号怎么办,如何避免案款数据同步失败,8.588907,0,执行系统无法生成虚拟账号,0.36766952,0,执行费显示待办，无法执行结案,0.052166667,0,立案时无法生成虚拟账号怎么办,0.68356293,1
执行系统中在哪里查看虚拟账号,执行系统中在哪里查看虚拟世界账号,查控系统公告在哪里点开,6.216077,0,执行系统中在哪里查看虚拟账号,0.1479422,1,请问执恢案件财务系统已转换数据但执行系统没有记录怎么回事,0.025151214,0,执行系统中在哪里查看虚拟账号,0.22680102,1
执行系统中在哪里查看虚拟账号,执行系统中在哪里查看虚拟世界账号,查控系统什么事实能用,6.2994084,0,执行系统中怎么查看虚拟账号,0.1552096,1,结案前操作屏蔽流程系统显示已屏蔽,0.05739003,0,执行系统中怎么查看虚拟账号,0.23085862,1
执行系统中在哪里查看虚拟账号,执行系统中在哪里查看虚拟世界账号,执行系统到账登记无数据,6.5338883,0,执行系统中执行通知书虚拟账号乱码,0.6076662,0,执行系统怎么查看流程审批完成没有,0.060560614,0,如何修改系统中执行标额,0.2594335,0
执行系统无法生成虚拟账号,执行系统无法生成虚拟世界账号,过程卷老是出现多余文书,6.5094557,0,执行系统无法生成虚拟账号,0.14933778,1,执行系统中，看不见支付附件,0.010722023,0,执行系统无法生成虚拟账号,0.38813815,1
执行系统无法生成虚拟账号,执行系统无法生成虚拟世界账号,执行系统无法生成虚拟账号,7.2065578,1,执行系统没有生成虚拟账号,0.256709,0,财务系统承办人信息与执行系统不一致,0.026438482,0,财务系统有案件信息执行系统无法生成账号,0.4029585,0
执行系统无法生成虚拟账号,执行系统无法生成虚拟世界账号,财务系统无流水,7.8626385,0,系统生成执行通知书未生成虚拟账号,0.44222102,0,财务系统显示不出案件承办人,0.028592162,0,财务已支付，执行系统无法流转,0.51806015,0
执行系统到账登记怎么操作,继续执行系统到账登记怎么操作,执行系统到账登记怎么操作,2.8804753,1,执行系统到账登记怎么操作,0.23549141,1,文书模板怎么设定,0.050308097,0,执行系统到账登记怎么操作,0.37369978,1
执行系统到账登记怎么操作,继续执行系统到账登记怎么操作,已支付案款信息财务系统找不到原因,3.3491242,0,执行系统到账登记无数据,0.5104515,0,如何调整财务审批顺序,0.06808355,0,执行系统重复到账登记,0.741565,0
执行系统到账登记怎么操作,继续执行系统到账登记怎么操作,终本案件发现有钱，怎么扣划,3.4974983,0,执行系统到账登记无数据怎么处理,0.5240731,0,怎样分配案款1,0.07092619,0,执行系统到账登记重复,0.741565,0
哪里进行银行流水匹配审核,哪里进行银行流水匹配审查,哪里进行银行流水匹配审核,0.48024663,1,哪里进行银行流水匹配审核,0.15324028,1,房产进行询价评估时的信息录入问题,0.02399114,0,哪里进行银行流水匹配审核,0.45597795,1
哪里进行银行流水匹配审核,哪里进行银行流水匹配审查,现金履行支付信息怎么操作,5.047984,0,案款银行流水匹配找不到案件信息,0.418369,0,直接裁定执行财产人，授权收执行主体中不显示功能,0.035623807,0,案款银行流水匹配无法找到已缴款项,0.59919286,0
哪里进行银行流水匹配审核,哪里进行银行流水匹配审查,到账登记无数据,5.2935877,0,流水匹配审核,0.45270452,1,财付通扣划提示“收款账户未在提交财付通的列表内,0.04618637,0,案款银行流水匹配找不到案件信息,0.67071575,0
执行系统怎么匹配案款,继续执行系统怎么匹配案款,执行系统怎么匹配案款,4.06274,1,执行系统怎么匹配案款,0.1979525,1,执行系统怎么匹配案款,0.019378107,1,财务系统怎么匹配案款,0.15443324,1
执行系统怎么匹配案款,继续执行系统怎么匹配案款,扣划到总账户案款怎么匹配,5.5197315,1,案款匹配后执行系统没信息,0.40345344,0,财务系统怎么匹配案款,0.027887087,1,执行系统怎么匹配案款,0.31396785,1
执行系统怎么匹配案款,继续执行系统怎么匹配案款,恢复案件如何关联首次执行案件,6.1107826,0,财务系统怎么匹配案款,0.46949714,1,已分割案款怎样再次匹配,0.028149731,0,财务系统如何取消匹配原案匹配,0.4240545,0
匹配案款怎么操作,给定案款怎么操作,匹配案款怎么操作,2.5379586,1,支付给案外人案款如何操作,0.9201155,0,现金履行支付信息怎么操作,0.06478789,0,怎么给查控系统授权,0.5823861,0
匹配案款怎么操作,给定案款怎么操作,现金履行支付信息怎么操作,3.9917564,0,案款发放怎么操作,0.92519563,0,执行费支付怎么操作,0.06871121,0,支付给案外人案款如何操作,0.8037616,0
匹配案款怎么操作,给定案款怎么操作,案款转换数据怎么消除,4.18933,0,案款支付流程,0.94288266,0,罚金案款发放怎么操作,0.10176213,0,给案外人支款,0.8493244,0
财务匹配,财务给定,财务无案件,7.594334,0,新版财务系统如何操作,0.6060826,0,二次分案,0.03499585,0,删除执行案件。,0.86676633,0
财务匹配,财务给定,扣划到总账户案款怎么匹配,8.190615,1,财务系统怎么确认支付案款,0.6860379,0,村委会终本,0.067876406,0,行为执行结案方式。,0.89741623,0
财务匹配,财务给定,财务系统无案件,8.8593445,0,财务系统授权,0.7387865,0,罚金转款,0.07145111,0,执行复议案件办理期限;执行监督案件办理期限,0.928255,0
案款匹配,案款给定,转换数据后案款到不执行案件,3.9585645,0,原案财务系统剩余案款如何支付,0.73508096,0,案款补录,0.013648761,0,执行费未支不成功，无法结案,0.85554254,0
案款匹配,案款给定,案款转换数据怎么消除,4.084762,0,怎样分配案款1,0.7756209,0,冻结操作,0.02184408,0,案款填错,0.86334354,0
案款匹配,案款给定,结案后修改失信,4.1056223,0,扣划到总账户案款怎么匹配,0.7778855,1,列入失信,0.0284648,0,案款分割,0.8643547,0
执恢案件支付案款怎么匹配,执恢案件缴纳案款怎么匹配,执恢案件否必须缴纳执行费,3.1441278,0,执恢案件支付案款怎么匹配,0.14086935,1,执恢案件支付案款怎么匹配,0.014678668,1,执恢案件支付案款怎么匹配,0.11910627,1
执恢案件支付案款怎么匹配,执恢案件缴纳案款怎么匹配,案款支付如何设置本院账户信息,3.38967,0,案款发放恢复案件怎么和首次执行匹配,0.40579417,0,领取案款案件怎么终本,0.029265476,0,匹配案款找不到案件,0.15784068,0
执恢案件支付案款怎么匹配,执恢案件缴纳案款怎么匹配,执恢案件支付案款怎么匹配,3.4222872,1,案款匹配,0.44447094,1,绑定关联案件,0.033536598,0,匹配案款怎么操作,0.20457265,1
案款已匹配数据已转换提交审核时候被提示不明案款进行提交,案款已匹配数据已转换提交审核时候被提示不明案款展开提交,案款已匹配数据已转换提交审核时候被提示不明案款进行提交,2.6874485,1,案款已匹配数据已转换提交审核时候被提示不明案款进行提交,0.041129354,1,案款已匹配数据已转换提交审核时候被提示不明案款进行提交,0.024838697,1,案款已匹配数据已转换提交审核时候被提示不明案款进行提交,0.15159638,1
案款已匹配数据已转换提交审核时候被提示不明案款进行提交,案款已匹配数据已转换提交审核时候被提示不明案款展开提交,不明案款匹配后，提示需要提交审核,13.687945,0,不明案款匹配后，提示需要提交审核,0.270099,0,历史案件信息填写后无法保存，显示该案件已经存在,0.039499246,0,银行流水匹配错误，但是数据已转换,0.64768434,0
案款已匹配数据已转换提交审核时候被提示不明案款进行提交,案款已匹配数据已转换提交审核时候被提示不明案款展开提交,提交网拍时，提示xxx财产执行主体与案件执行主体不同,14.609176,0,不明案款匹配后怎么提交审核,0.3281207,0,在新版财务系统中，财务系统  部分 功能模块不见了？,0.044714488,0,已转换数据的案款如何取消转换重新匹配？,0.7192287,0
案款匹配财务应怎样操作,案款匹配财务应怎样操作者,案款匹配财务应怎样操作,1.2424324,1,案款匹配财务应怎样操作,0.09267952,1,案款分配按钮在哪里,0.044786867,0,案款匹配财务应怎样操作,0.1252545,1
案款匹配财务应怎样操作,案款匹配财务应怎样操作者,案款匹配财务应怎样操作,1.2424324,1,案款匹配财务应怎样操作,0.09267952,1,财产登记在哪里做,0.04535955,0,案款匹配财务应怎样操作,0.1252545,1
案款匹配财务应怎样操作,案款匹配财务应怎样操作者,执恢案件支付案款怎么匹配,4.02854,0,财务系统怎么匹配案款,0.28384268,0,恢复案件终本,0.047491044,0,财务管理系统中找不到匹配案款的案件,0.46947318,0
流水匹配审核,山涧匹配审核,不明案款审批,3.3246696,0,不明案款匹配后怎么提交审核,0.6305573,0,流水匹配审核,0.03757868,1,流水匹配审核,0.32893696,1
流水匹配审核,山涧匹配审核,案款延期发放审批,3.8358378,0,流水匹配审核,0.6475438,1,案件延期,0.04530269,0,不明案款匹配后怎么提交审核,0.5770014,0
